End_Date,Elec,Fuel
31-Jul-14,3531.7633,298652.1687
31-Aug-14,3413.14818,312483.3804
30-Sep-14,3283.193056,304847.0819
31-Oct-14,2895.975524,409627.4667
30-Nov-14,2701.516844,6882153.767
31-Dec-14,2744.952184,14519235.62
31-Jan-15,2742.910092,13980414.9
28-Feb-15,2827.230224,19479915.75
31-Mar-15,2767.856572,11603523.39
30-Apr-15,2729.933908,4195693.022
31-May-15,3023.766668,1143434.044
30-Jun-15,3449.54064,1377321.297
31-Jul-15,3652.793404,292469.9348
31-Aug-15,3824.053896,297756.7043
30-Sep-15,3455.602332,292338.8982
31-Oct-15,3004.84808,1280417.144
30-Nov-15,2844.543676,2082827.509
31-Dec-15,2783.70326,4247692.698
31-Jan-16,2796.70612,13267669.93
29-Feb-16,2796.969708,10886132.16
31-Mar-16,2685.66272,5251512.531
30-Apr-16,2722.377788,3178341.267
31-May-16,2810.602496,323799.5219
30-Jun-16,3013.63634,272556.8182
